Calculated Data (by ZIP code):

  zip  median_income  high_school  bachelors  graduate  avg_rating  total_reviews  restaurant_count
48009         137907         95.0       75.0      40.0    4.061111           5382                18
48030          50871         95.0       75.0      40.0    3.433333           1084                12
48067          93902         95.0       75.0      40.0    4.400000            549                 4
48069         134917         95.0       75.0      40.0    4.081250           7840                16
48073          82049         95.0       75.0      40.0    4.100000           2796                 6
48076          74986         95.0       75.0      40.0    4.354545           1077                11
48083          80222         95.0       75.0      40.0    4.141667           1915                12
48084         101599         95.0       75.0      40.0    4.250000           3507                12
48085         123388         95.0       75.0      40.0    4.050000           1421                 8
48089          43903         95.0       75.0      40.0    4.300000           1548                11
48091          47118         95.0       75.0      40.0    4.283333           2600                12
48092          62728         95.0       75.0      40.0    4.392308           2019                13
48093          59426         95.0       75.0      40.0    4.285714           1662                21
48094          87687         95.0       75.0      40.0    4.166667            186                 3
48095         127396         95.0       75.0      40.0    4.150000           1436                22
48098         149337         95.0       75.0      40.0    4.270000           1633                10
48101          69455         95.0       75.0      40.0    4.325000            892                 4
48103         106715         95.0       75.0      40.0    4.306667           1411                15
48104          58082         95.0       75.0      40.0    4.200000           1213                 7
48105          83947         95.0       75.0      40.0    4.362500           1047                 8
48108          73184         95.0       75.0      40.0    4.258824           2505                17
48109          11404         95.0       75.0      40.0    4.287500          12185                24
48111          64318         95.0       75.0      40.0    3.958333           2259                12
48124          75504         95.0       75.0      40.0    4.000000            490                 2
48125          52912         95.0       75.0      40.0    4.385714            598                 7
48126          42103         95.0       75.0      40.0    4.158333           2877                12
48127          57164         95.0       75.0      40.0    4.260000            237                 5
48128          88229         95.0       75.0      40.0    4.405882           3008                17
48135          59049         95.0       75.0      40.0    4.140000            464                 5
48141          34122         95.0       75.0      40.0    3.800000           1977                22
48146          49794         95.0       75.0      40.0    4.350000           1178                18
48152          78413         95.0       75.0      40.0    4.433333           1195                 6
48154          92485         95.0       75.0      40.0    4.335000           2524                20
48161          58214         95.0       75.0      40.0    3.840000            147                 5
48162          64423         95.0       75.0      40.0    4.112000           2098                25
48164          96507         95.0       75.0      40.0    4.078571            419                14
48167         105802         95.0       75.0      40.0    4.213333           4031                15
48170          96861         95.0       75.0      40.0    4.221429           2112                14
48174          58558         95.0       75.0      40.0    3.400000           1917                 8
48180          55358         95.0       75.0      40.0    4.372222           2544                18
48183          69220         95.0       75.0      40.0    4.484000           1380                25
48184          47856         95.0       75.0      40.0    4.066667            872                 9
48186          58759         95.0       75.0      40.0    4.342857           5156                21
48187         100150         95.0       75.0      40.0    4.072727           2522                11
48188         109037         95.0       75.0      40.0    4.330769           5207                26
48197          63676         95.0       75.0      40.0    4.283333            922                12
48198          55774         95.0       75.0      40.0    4.384211           3375                19
48201          21180         95.0       75.0      40.0    4.180000           1281                 5
48202          31269         95.0       75.0      40.0    4.220000            509                 5
48203          29881         95.0       75.0      40.0    4.033333            776                 6
48204          27609         95.0       75.0      40.0    3.270000            123                10
48205          39988         95.0       75.0      40.0    3.346667            329                15
48206          32200         95.0       75.0      40.0    2.750000            159                24
48207          37139         95.0       75.0      40.0    4.400000           1539                 9
48208          23827         95.0       75.0      40.0    4.542857           1007                 7
48209          34104         95.0       75.0      40.0    4.066667           1343                 6
48210          33711         95.0       75.0      40.0    4.310000           2052                10
48211          30271         95.0       75.0      40.0    4.580000           1987                 5
48212          32439         95.0       75.0      40.0    4.487500           1087                 8
48213          28718         95.0       75.0      40.0    2.627273            202                11
48214          30313         95.0       75.0      40.0    4.166667           1051                15
48215          30017         95.0       75.0      40.0    3.930000           1119                10
48216          38844         95.0       75.0      40.0    4.235000           8617                20
48217          37917         95.0       75.0      40.0    4.285714            375                 7
48218          24034         95.0       75.0      40.0    3.736842           1455                19
48219          39179         95.0       75.0      40.0    3.744444            754                 9
48220          74090         95.0       75.0      40.0    4.200000            174                 1
48221          46209         95.0       75.0      40.0    3.665000           1744                20
48223          38933         95.0       75.0      40.0    3.940000            996                15
48224          37206         95.0       75.0      40.0    3.350000            203                 6
48225          52600         95.0       75.0      40.0    3.854545            508                11
48226          75236         95.0       75.0      40.0    4.145833          12478                24
48227          31211         95.0       75.0      40.0    2.887500            452                16
48228          31330         95.0       75.0      40.0    4.172727           1559                11
48229          36985         95.0       75.0      40.0    3.925000            468                16
48230         125018         95.0       75.0      40.0    3.950000           1035                12
48233     -666666666         95.0       75.0      40.0    4.350000           5636                24
48234          33583         95.0       75.0      40.0    4.039130           1811                23
48235          36219         95.0       75.0      40.0    3.628000           1084                25
48236         120156         95.0       75.0      40.0    4.104167           2450                24
48237          58700         95.0       75.0      40.0    4.344000           9213                25
48301         156192         95.0       75.0      40.0    4.066667           1327                 9
48302         150556         95.0       75.0      40.0    4.314286           1361                 7
48304         131270         95.0       75.0      40.0    4.011111           3460                18
48306         161851         95.0       75.0      40.0    4.025000           1433                12
48307          94914         95.0       75.0      40.0    4.087500           1540                 8
48309         108588         95.0       75.0      40.0    4.088889           3288                18
48310          67389         95.0       75.0      40.0    4.417647           1875                17
48312          67126         95.0       75.0      40.0    4.280000           2283                15
48313          79602         95.0       75.0      40.0    4.386667           2117                15
48314          70331         95.0       75.0      40.0    4.266667           1834                15
48315          97201         95.0       75.0      40.0    4.066667           1468                12
48316          91920         95.0       75.0      40.0    4.193750           1753                16
48317          67122         95.0       75.0      40.0    4.464000           4480                25
48322         103293         95.0       75.0      40.0    4.128571           1356                 7
48323         125262         95.0       75.0      40.0    4.145455           2089                11
48324         131002         95.0       75.0      40.0    4.129412           2518                17
48326          74308         95.0       75.0      40.0    4.343478           4252                23
48327          63998         95.0       75.0      40.0    4.334615           2691                26
